epoch,negative_elbo
1,413.61669029471966
2,404.10534866642416
epoch,negative_elbo
1,414.1968368807114
2,404.0224102919995
3,402.53681465401337
4,401.9360564241033
5,401.73994046824976
6,401.6252035916551
7,401.5621425176761
8,401.4926508981874
9,401.4241018712584
10,401.39656075036896
11,401.37647275812725
12,401.3002096886569
13,401.01551048580075
14,400.58202434527584
15,400.28681116908183
16,400.1214059933527
17,399.9649250759259
18,399.9120769032547
19,399.88327407429796
20,399.8266832805621
epoch,negative_elbo
1,17483.621411627868
2,16194.407166113593
3,15949.542003651948
4,15804.76263277915
5,15701.129445079043
6,15637.708493488193
7,15592.821030591316
8,15559.720471751602
9,15524.570124899947
10,15506.618378760339
11,15485.291205309499
12,15472.880660310499
13,15460.527485492263
14,15446.840372156817
15,15434.954291246999
16,15424.815767367596
17,15416.660216698907
18,15410.766360809099
19,15402.533610634006
20,15395.315735058697
epoch,negative_elbo
1,17497.712682180496
2,16090.866122348585
3,15892.674376334046
4,15783.238708561232
5,15707.734527164488
6,15654.629910952508
7,15608.36584303295
8,15575.992868071306
9,15544.514043948438
10,15514.407709111527
11,15494.904999332977
12,15472.028280708044
13,15455.069742404283
14,15441.081938492196
15,15433.938813200373
16,15420.21063942436
17,15416.784549676495
18,15404.132085028681
19,15399.061645377535
20,15391.20320316669
