epoch,negative_elbo
1,10193.968386785453
epoch,negative_elbo
1,10236.918706122431
epoch,negative_elbo
1,10107.580343370631
2,7959.788545557631
3,7537.285225036686
4,7319.29450394377
5,7175.790063554729
6,7076.437416622199
7,7006.312767851187
8,6944.702098931931
9,6908.807048134005
epoch,negative_elbo
1,10068.970693744997
2,7913.347183080977
3,7521.157623649279
4,7316.701896740762
5,7187.409159885272
6,7107.570151476621
7,7023.946041013541
8,6965.748800922992
9,6910.265746940035
10,6873.146407250533
11,6840.762843308097
12,6810.482174347152
13,6790.432319632971
14,6765.810672462813
15,6746.672901589181
16,6729.367638261239
17,6718.450823251567
18,6699.381060002835
19,6684.90680029349
20,6678.708600316002
epoch,negative_elbo
1,1.7498618682133704e8
epoch,negative_elbo
1,1.7466512504758888e8
2,2.7217113612800065e7
3,7.804421632587209e6
4,2.780507226452291e6
5,1.0973167767546885e6
6,456667.19944430084
7,196339.02355536923
8,87150.54990789434
9,40798.30322316113
10,21125.10361392576
11,12864.929635926634
12,9459.90543758545
13,8089.465077036624
14,7554.684540761973
15,7351.690453224015
16,7254.327485443678
17,7198.429576331885
18,7155.651138961564
19,7116.348755821501
20,7076.404619086087
epoch,negative_elbo
1,18798.371353370636
2,16314.645601803304
3,16299.4185641638
4,16258.261487356907
5,16175.30197043986
6,16156.759726730557
7,16192.462059800571
8,16208.313213037389
9,16198.919299654088
10,16168.409354301304
11,16078.439268145674
12,16104.326585149964
13,16150.371590765639
14,16146.122872400992
15,16172.285747997887
