epoch,negative_elbo
1,9.695048283341647e13
2,1.7803113434219514e12
3,1.016502849910222e10
4,1.2707310428243643e7
5,101118.82181389137
6,100400.48782019322
7,96951.87007556511
8,96164.2266210933
9,96671.70070048195
10,96166.52813874486
11,94755.05299097054
12,94050.07520069172
13,93806.49626874788
14,93328.53239599756
15,92120.575656129
16,54944.068172254454
17,18027.937887243723
18,16196.70962003516
19,15727.372951450525
20,15511.605243532016
21,15375.089607586711
22,15250.861064960383
23,15132.983104652185
24,15024.402310336736
25,14919.094192839282
26,14839.904193952429
27,14766.89673587794
28,14710.426444043715
29,14662.106863966594
30,14629.198534126483
31,14595.473908672979
32,14572.093115368942
33,14546.76594286917
34,14528.987894545922
35,14514.253084652255
36,14499.211851081678
37,14490.460244222379
38,14469.7502875262
39,14459.075477451197
40,14452.12714587281
epoch,negative_elbo
1,9.68913002265745e13
2,1.7850199391687563e12
3,9.766773531145863e9
4,1.267120383257412e7
5,94073.45311876305
6,91982.83568680481
7,91402.10889114201
8,90215.38005514284
9,89674.50836456196
10,88365.79898234142
11,87290.57084483941
12,37605.38534807672
13,17765.766089398414
14,16275.21300934131
15,15796.099071164408
16,15492.598206559722
17,15267.342967617164
18,15101.67801068822
19,14984.671664783906
20,14911.517150641273
21,14848.83481372872
22,14797.611446446947
23,14759.508548241243
24,14726.421729557194
25,14691.169817381173
26,14665.343187697887
27,14635.099130679968
28,14603.705868719795
29,14582.28909068193
30,14560.215750478043
31,14537.321407044135
32,14525.198757292888
33,14503.236795898256
34,14499.9228492146
35,14483.84403627577
36,14467.6858630655
37,14460.972622322392
38,14452.534428065432
39,14437.770530947962
40,14430.283031409765
41,30454.357145412498
42,24247.277824717774
43,23947.75858810432
44,23797.410992033867
45,23718.30373952421
46,23660.68200101833
47,23619.178912776566
48,23589.340912780775
49,23563.48598968098
