epoch,negative_elbo
1,1.3889457648318338e14
2,2.5533595583869795e12
3,1.391283722189588e10
4,9.115459789974384e6
5,19957.02274029724
6,19388.70111793666
7,19047.685621234075
8,18784.052407371484
9,18612.51658253573
10,18479.141335605636
11,18375.206075121558
12,18293.841190497264
13,18235.600775937284
14,18175.104613814827
15,18122.230115738043
16,18079.77469751229
17,18041.06460473786
18,18007.341829343157
19,17976.667194325793
20,17951.213284660884
21,17928.271924233784
22,17913.759594564173
23,17890.992458192646
24,17874.070646386666
25,17854.361317265746
