epoch,negative_elbo
1,381606.358389583
2,49891.0703758187
3,14784.509700556397
4,12823.77405752968
5,11623.45334918669
6,10779.870196185859
7,10171.17355464988
8,9704.671028587176
9,8994.396051666401
10,8174.062337000638
11,7796.203443564172
12,7604.789422249004
13,7503.641832416568
14,7425.86516601919
15,7375.3690890594935
16,7334.038980995934
17,7298.658842361705
18,7272.567107689227
19,7248.597549759654
20,7223.85721442123
21,6819.979547664094
22,6748.779968383281
23,6738.0167473393085
24,6731.926769391985
25,6727.698741201598
26,6723.951557792551
27,6721.714571973495
28,6721.538997208059
29,6713.836360969955
30,6713.6770466991375
31,6712.7678963536
32,6708.124355665982
33,6706.736763612438
34,6708.231741896646
35,6704.364819150126
36,6702.619784259348
37,6703.524333665555
38,6696.854446100573
39,6696.647248514175
40,6693.867997645414
