epoch,negative_elbo
1,1.219438059465213e17
2,1.9014214911844976e16
3,5.450105106702098e15
4,1.9407322824888388e15
5,7.628684995826395e14
6,3.1421269461106525e14
7,1.3190579916660588e14
8,5.548397930704622e13
9,2.309278403866098e13
10,9.398968234677244e12
11,3.6889414867792554e12
12,1.3690108633306953e12
13,4.661307729182717e11
14,1.3875290665628674e11
15,3.3364298030173798e10
16,5.692106645060701e9
17,5.613590692617513e8
18,2.418607162134096e7
19,408986.8621140515
20,37490.80429652468
21,3.503978439987145e6
22,1.0364321774633448e6
23,1.0422725397411218e6
epoch,negative_elbo
1,1.2190216723453616e14
2,1.9004355650751688e13
3,5.450529713281254e12
4,1.941043770542961e12
5,7.629060733496201e11
6,3.1419389667457245e11
7,1.3189750827795871e11
8,5.548855753818324e10
9,2.310128190782593e10
10,9.405999978297411e9
11,3.69321481953318e9
12,1.3711161844539816e9
13,4.669934263902477e8
14,1.3904582844052997e8
15,3.3448286443580266e7
16,5.724859741342303e6
17,597623.5081703089
18,68252.69262838888
19,46819.39601610677
20,45741.52388709457
21,41403.11474688217
22,24414.36400425446
23,22786.52551978104
24,21892.673555480505
25,21120.32017298848
26,20748.69778769478
27,20581.020862884852
28,19875.420176556105
29,19526.50961158632
30,19354.177805909065
31,19227.04161897596
32,19137.78054086475
33,19075.751206568748
34,18998.636087772345
35,19063.76729642396
36,19154.028764567975
37,19128.59836569566
38,18864.895786818044
39,18355.502987443142
40,18087.667337053732
epoch,negative_elbo
1,463771.11628399853
2,302849.7970933009
3,178452.59633034852
4,22956.295047908156
5,20240.310081827054
6,18703.98712920442
7,17496.187740516645
8,16437.585467187553
9,15495.578062376873
10,14713.792429114452
11,14020.172257803597
12,13384.661090190233
13,12818.135080586357
14,12279.759808396086
15,11826.542316793215
16,11453.364962502004
17,11110.49973701578
18,10863.909871802574
19,10665.76623588665
20,10501.871576062804
21,10301.237273706634
22,10124.937207339313
23,10035.697036351687
24,9957.979969516211
25,9877.395120862513
26,9827.556379062624
27,9763.282124680172
28,9700.9093567378
epoch,negative_elbo
1,516759.35446657304
2,293306.52462121786
3,25860.876799740632
4,22022.876994826212
5,20485.725216458846
6,19273.692940128345
7,18267.058472062512
8,17265.406587118006
9,16266.879081546853
10,15421.936591330526
11,14404.64483578109
12,13666.48420414302
13,13077.807758774312
14,12598.397880647239
15,12178.310795842426
16,11837.462877604168
17,11558.417334398417
18,11350.163283028767
19,11208.306484209766
20,11101.14791635054
epoch,negative_elbo
1,488509.58260478446
2,309698.3198925126
3,122618.63897209695
4,21632.37814457379
5,19463.74127074527
6,18223.033509663514
7,17297.472231193522
8,16440.155538461837
9,15634.986167436095
10,14893.676834830492
11,14192.353398704492
12,13556.614149022475
13,12988.045940987971
14,12437.658258482128
15,11982.48224667589
16,11603.644186247477
17,11300.229370629011
18,11066.17757189699
19,10882.149838088417
20,10759.618339159693
epoch,negative_elbo
1,19404.790264267653
2,9980.841940380442
3,7777.408428461597
4,6872.879754901008
5,6124.159993514309
6,5351.655761544965
7,4543.944116088214
8,3721.6115609809945
9,2931.2296055524675
10,2185.4362016449077
11,1518.3690778343623
12,925.8943737016699
13,547.2267104477811
14,324.15840196285325
15,190.93337371130517
16,115.11494994093428
17,71.63648475262285
18,44.31955062901333
19,25.516820302680316
20,12.9240382083091
epoch,negative_elbo
1,19526.898118949477
2,10507.99599258128
3,7437.942126510816
4,6341.916458581646
5,5661.326629061983
6,4984.064140095633
7,4237.273896089558
8,3452.724388049825
9,2634.7281558098675
10,1879.8227148298083
11,1288.6661728449071
12,819.9970306225703
13,478.7085781176209
14,255.77093776525754
15,125.55573353702118
16,57.385941074460185
17,25.13173891763731
18,11.155610669159534
19,5.497216052739591
20,3.1788644368479098
epoch,negative_elbo
1,3421.034358598702
2,794.6997915821498
3,170.61090953517936
4,32.20056998604858
5,5.713499369360744
6,1.2829509135281314
7,0.4487759273025827
8,0.20666569183177783
9,0.12106611820879591
10,0.09208353539007229
11,0.08302376957124184
12,0.08053488926662607
13,0.07998709084116469
14,0.07990343002647435
15,0.07989596619618264
16,0.0798942733319973
17,0.0798928885595902
18,0.07989327954802687
19,0.07989475927711862
20,0.07989456939689744
epoch,negative_elbo
1,3436.3855491683435
2,799.7584375146771
3,172.06734431443408
4,32.53083499215907
5,5.7180288639303845
6,1.1969494980684274
7,0.3689043915798451
8,0.14024077241216318
9,0.059740333011359614
10,0.03184822874590606
11,0.02308534846285805
12,0.020764870440179446
13,0.02030044132604255
14,0.02024186516102358
15,0.020238383463730747
16,0.020236237515907474
17,0.020235576744282266
18,0.02023504461103157
19,0.020236138473433907
20,0.020237141533704216
epoch,negative_elbo
1,3438.2681031066377
2,809.5236601978875
3,184.6441241480893
4,46.09999704502781
5,19.60214828969997
6,15.134592042354168
7,14.25618809995543
8,13.977391820434606
9,13.870469895558402
10,13.832359394267261
11,13.819958658727282
12,13.816378642634563
13,13.815548914410485
14,13.815402267868917
15,13.815385648878921
16,13.815382200556883
17,13.81538044692621
18,13.815380496083707
19,13.815382052798322
20,13.815382721652231
epoch,negative_elbo
1,3431.285705467709
2,797.7596013883212
3,170.65410356379462
4,31.575691903876347
5,5.1683870952475175
6,0.9236057024971664
7,0.23832554780286344
8,0.07864353503681845
9,0.027949646878424588
10,0.011783113511835662
epoch,negative_elbo
1,3428.9115856429285
2,799.4453205621362
3,173.02400314201395
4,33.15026297134714
5,6.00164850864669
6,1.3456190847423233
7,0.4378905026652366
8,0.15938879556722893
9,0.05438125605112307
10,0.017918826018867767
epoch,negative_elbo
1,-Inf
2,-Inf
3,-Inf
4,-Inf
5,-Inf
6,-Inf
7,-Inf
8,-Inf
9,-Inf
10,-Inf
epoch,negative_elbo
1,-Inf
2,-Inf
3,-Inf
4,-Inf
5,-Inf
6,-Inf
7,-Inf
8,-Inf
9,-Inf
10,-Inf
epoch,negative_elbo
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
epoch,negative_elbo
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
epoch,negative_elbo
1,571557.4681720572
2,25640.523800417395
3,19369.696151212505
4,16327.728356176896
5,14716.562465371742
6,16958.18332274319
7,11397.435306831294
8,8481.570201620305
9,7937.139105106969
10,7599.712147703189
epoch,negative_elbo
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
epoch,negative_elbo
1,1832.4153659898175
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
epoch,negative_elbo
1,8.659908153181404e35
2,3.008014956551202e34
3,1.1777679402613046e34
4,5.844787899551325e33
5,3.258352665863126e33
6,2.0233917754181363e33
7,1.198589457379944e33
8,7.63888264469512e32
9,4.668407797020206e32
10,2.9295594992840223e32
epoch,negative_elbo
1,10156.305787744466
2,5555.887646893642
3,4177.614763359097
4,2956.888544846622
5,1963.3413590020373
6,1285.8804664362174
7,804.7545516933059
8,476.2493300711377
9,265.6468933148712
10,140.1945888501329
11,72.24496736590648
12,39.01769796027726
13,24.46122160171078
14,18.774041223300795
