epoch,negative_elbo
1,15410.334385112556
2,10908.065127112746
3,9725.488298237346
4,9034.53059088246
5,8596.832173941246
6,8297.557584713993
7,8093.214249831174
8,7944.877889695945
9,7830.412381532699
10,7732.996362573554
11,7651.18162396545
12,7588.7140529061735
13,7532.232600056622
14,7482.586380225857
15,7426.344223387906
16,7392.255490107009
17,7351.283195662914
18,7313.530064827974
19,7282.732832984235
20,7250.225308862128
epoch,negative_elbo
1,7242.723210204212
2,7035.305335555897
3,6963.113017850864
4,6920.231586456992
5,6897.050847041249
6,6873.690143639754
7,6863.825507968938
8,6849.523954723052
9,6836.959768833552
10,6825.2514874160415
11,6816.672758522337
12,6815.935749079155
13,6808.173839419138
14,6800.529279639473
15,6793.310945347941
16,6791.937225596726
17,6788.116086701581
18,6781.747596052057
19,6782.755830105338
20,6775.260393279667
21,6772.878034328952
22,6771.1398374815935
23,6771.016337682438
24,6760.691082874176
25,6762.55865975187
26,6756.401897507288
27,6757.251265607802
28,6753.634173575536
29,6753.452413528765
30,6746.252789528449
31,6751.554554061817
32,6744.582017501165
33,6744.83422382528
34,6742.925449222681
35,6741.40724953047
36,6737.054195861632
37,6735.325805829894
38,6731.636092513167
39,6732.711511682734
40,6731.397946406035
